Author_ID,Name,Nationality
1,John Steinbeck,American
2,Albert Camus,French
3,Harper Lee,American
4,Arthur Koestler,Hungarian-British
5,J.R.R. Tolkien,British
6,Joseph Conrad,Polish-British
7,Charlotte Bronte,British
8,Charles Dickens,British
9,Gabriel Garcia Marquez,Colombian
10,George Orwell,British
11,Aldous Huxley,British
12,H.G. Wells,British
13,Herman Melville,American
14,Nathaniel Hawthorne,American
15,Leo Tolstoy,Russian
16,Mark Twain,American
17,James Joyce,Irish
18,Oscar Wilde,Irish
19,J.D. Salinger,American
20,Alexandre Dumas,French
21,Mary Shelley,British
22,Jack London,American
23,Toni Morrison,American
24,Vladimir Nabokov,Russian-American
25,Ernest Hemingway,American
26,F. Scott Fitzgerald,American
27,Fyodor Dostoevsky,Russian
28,Bram Stoker,Irish
29,William Faulkner,American
30,Emily Bronte,British
31,Franz Kafka,Austrian-Hungarian
32,Victor Hugo,French
33,D.H. Lawrence,British
34,Jack Kerouac,American
35,Joseph Heller,American
36,Jane Austen,British
