Authorship_ID,Author_ID,Material_ID
1001,17,1
1002,26,2
1003,17,3
1004,24,4
1005,11,5
1006,29,6
1007,35,7
1008,4,8
1009,33,9
1010,1,10
1011,3,11
1012,10,12
1013,19,13
1014,34,14
1015,5,15
1016,9,16
1017,23,17
1018,31,18
1019,2,19
1020,25,20
1021,25,21
1022,31,22
1023,18,23
1024,22,24
1025,6,25
1026,16,26
1027,16,27
1028,13,28
1029,15,29
1030,15,30
1031,27,31
1032,27,32
1033,7,33
1034,30,34
1035,36,35
1036,36,36
1037,36,37
1038,8,38
1039,8,39
1040,8,40
1041,8,41
1042,20,42
1043,20,43
1044,32,44
1045,32,45
1046,21,46
1047,28,47
1048,14,48
1049,1,49
1050,1,50
1051,26,51
1052,26,52
1053,26,53
1054,25,54
1055,25,55
1056,31,56
1057,31,57
1058,18,58
1059,18,59
1060,18,60
1061,22,61
1062,22,62
1063,22,63
1064,6,64
1065,6,65
1066,6,66
1067,16,67
1068,16,68
1069,13,69
1070,13,70
1071,13,71
1072,15,72
1073,15,73
1074,27,74
1075,27,75
1076,36,76
1077,36,77
1078,36,78
1079,8,79
1080,8,80
1081,8,81
1082,20,82
1083,20,83
1084,32,84
1085,32,85
1086,32,86
1087,12,87
1088,12,88
1089,12,89
1090,12,90
1091,18,91
1092,18,92
1093,18,93
1094,18,94
