Borrow_ID,Material_ID,Member_ID,Staff_ID,Borrow_Date,Due_Date,Return_Date
1,1,1,1,9/12/2018,10/3/2018,9/30/2018
2,2,2,1,10/15/2018,11/5/2018,10/29/2018
3,3,3,1,12/20/2018,1/10/2019,1/8/2019
4,4,4,1,3/11/2019,4/1/2019,3/27/2019
5,5,5,1,4/20/2019,5/11/2019,5/5/2019
6,6,6,1,7/5/2019,7/26/2019,7/21/2019
7,7,7,1,9/10/2019,10/1/2019,9/25/2019
8,8,8,1,11/8/2019,11/29/2019,11/20/2019
9,9,9,1,1/15/2020,2/5/2020,2/3/2020
10,10,10,1,3/12/2020,4/2/2020,3/28/2020
11,1,11,2,5/14/2020,6/4/2020,5/28/2020
12,2,12,2,7/21/2020,8/11/2020,8/2/2020
13,3,13,2,9/25/2020,10/16/2020,10/15/2020
14,4,1,2,11/8/2020,11/29/2020,11/24/2020
15,5,2,2,1/3/2021,1/24/2021,1/19/2021
16,6,3,2,2/18/2021,3/11/2021,3/12/2021
17,17,4,2,4/27/2021,5/18/2021,5/20/2021
18,18,5,2,6/13/2021,7/4/2021,6/28/2021
19,19,6,2,8/15/2021,9/5/2021,9/3/2021
20,20,7,2,10/21/2021,11/11/2021,
21,21,1,3,11/29/2021,12/20/2021,
22,22,2,3,1/10/2022,1/31/2022,1/25/2022
23,23,3,3,2/7/2022,2/28/2022,2/23/2022
24,24,4,3,3/11/2022,4/1/2022,3/28/2022
25,25,5,3,4/28/2022,5/19/2022,5/18/2022
26,26,6,3,6/22/2022,7/13/2022,7/8/2022
27,27,7,3,8/4/2022,8/25/2022,8/23/2022
28,28,8,3,9/13/2022,10/4/2022,9/28/2022
29,29,9,3,10/16/2022,11/6/2022,11/5/2022
30,30,8,3,11/21/2022,12/12/2022,12/5/2022
31,1,9,4,12/28/2022,1/18/2023,
32,2,1,4,1/23/2023,2/13/2023,
33,3,10,4,2/2/2023,2/23/2023,2/17/2023
34,4,11,4,3/1/2023,3/22/2023,
35,5,12,4,3/10/2023,3/31/2023,
36,6,13,4,3/15/2023,4/5/2023,
37,7,17,4,3/25/2023,4/15/2023,
38,8,8,4,3/30/2023,4/20/2023,
39,9,9,4,3/26/2023,4/16/2023,
40,10,20,4,3/28/2023,4/18/2023,
41,35,23,7,2024-05-28,2024-06-18,2024-05-29
42,45,28,1,2022-07-27,2022-08-17,2022-07-31
43,44,36,13,2022-06-05,2022-06-26,
44,13,40,2,2022-07-17,2022-08-07,2022-07-20
45,41,38,13,2023-10-08,2023-10-29,
46,34,11,6,2024-07-16,2024-08-06,2024-08-12
47,4,1,8,2023-12-24,2024-01-14,2024-01-13
48,33,35,2,2024-05-29,2024-06-19,2024-06-13
49,7,7,9,2022-05-20,2022-06-10,2022-05-28
50,8,12,13,2022-09-02,2022-09-23,2022-09-02
51,16,30,5,2024-10-31,2024-11-21,2024-11-24
52,8,25,4,2024-08-11,2024-09-01,2024-08-25
53,3,8,5,2024-01-23,2024-02-13,2024-02-14
54,34,25,3,2023-01-18,2023-02-08,2023-02-14
55,7,27,4,2024-12-07,2024-12-28,2024-12-15
56,45,5,1,2023-09-07,2023-09-28,2023-10-07
57,21,33,13,2023-03-20,2023-04-10,2023-04-16
58,22,16,11,2025-02-04,2025-02-25,2025-02-28
59,18,2,3,2022-10-23,2022-11-13,2022-11-21
60,38,31,12,2024-05-03,2024-05-24,2024-05-11
61,19,14,11,2022-07-03,2022-07-24,
62,11,27,3,2024-01-12,2024-02-02,2024-01-16
63,48,34,9,2024-07-11,2024-08-01,
64,42,37,1,2023-05-03,2023-05-24,
65,50,20,3,2023-12-18,2024-01-08,2024-01-13
66,37,31,13,2024-04-27,2024-05-18,2024-05-22
67,31,17,5,2025-02-06,2025-02-27,2025-02-22
68,41,4,7,2022-09-21,2022-10-12,2022-10-12
69,12,5,1,2023-05-27,2023-06-17,2023-06-04
70,17,22,1,2023-01-01,2023-01-22,2023-01-07
71,17,16,8,2023-04-15,2023-05-06,2023-04-23
72,32,6,2,2023-08-20,2023-09-10,
73,51,19,8,2024-03-08,2024-03-29,2024-04-03
74,19,5,1,2022-08-04,2022-08-25,2022-08-20
75,15,18,3,2024-10-29,2024-11-19,2024-11-13
76,30,38,8,2023-07-21,2023-08-11,2023-08-14
77,7,18,1,2024-06-22,2024-07-13,2024-06-24
78,19,4,6,2024-08-30,2024-09-20,2024-09-21
79,6,7,5,2024-01-20,2024-02-10,2024-01-31
80,12,28,1,2023-05-03,2023-05-24,2023-05-18
81,49,14,12,2024-05-20,2024-06-10,
82,39,15,12,2024-09-03,2024-09-24,2024-09-12
83,37,15,11,2022-05-24,2022-06-14,
84,46,8,4,2023-06-23,2023-07-14,
85,14,37,2,2023-08-04,2023-08-25,2023-08-25
86,15,11,2,2022-09-26,2022-10-17,
87,30,37,3,2024-05-09,2024-05-30,
88,18,37,14,2024-10-04,2024-10-25,2024-10-08
89,14,5,10,2024-10-20,2024-11-10,2024-11-02
90,3,7,11,2024-01-12,2024-02-02,2024-02-09
