Material_ID,Title,Publication_Date,Catalog_ID,Genre_ID
1,Ulysses,1922,1,1
2,The Great Gatsby,1925,1,1
3,A Portrait of the Artist as a Young Man,1916,1,2
4,Lolita,1955,1,3
5,Brave New World,1932,3,4
6,The Sound and the Fury,1929,5,1
7,Catch-22,1961,5,1
8,Darkness at Noon,1940,4,1
9,Sons and Lovers,1913,5,1
10,The Grapes of Wrath,1939,3,3
11,To Kill a Mockingbird,1960,1,5
12,Nineteen Eighty-Four,1949,1,5
13,The Catcher in the Rye,1951,1,4
14,On the Road,1957,4,5
15,The Lord of the Rings,1954,3,3
16,One Hundred Years of Solitude,1967,4,1
17,Beloved,1987,3,1
18,The Trial,1925,4,1
19,The Stranger,1942,1,4
20,The Sun Also Rises,1926,6,3
21,The Old Man and the Sea,1952,10,4
22,The Metamorphosis,1915,1,1
23,The Picture of Dorian Gray,1890,3,6
24,The Call of the Wild,1903,5,6
25,Heart of Darkness,1899,8,1
26,The Adventures of Huckleberry Finn,1884,9,6
27,The Adventures of Tom Sawyer,1876,10,1
28,Moby-Dick,1851,3,1
29,War and Peace,1869,4,7
30,Anna Karenina,1877,3,7
31,Crime and Punishment,1866,8,4
32,The Brothers Karamazov,1880,3,5
33,Jane Eyre,1847,8,3
34,Wuthering Heights,1847,1,1
35,Pride and Prejudice,1813,6,6
36,Sense and Sensibility,1811,1,2
37,Emma,1815,1,3
38,Great Expectations,1861,5,6
39,A Tale of Two Cities,1859,9,7
40,David Copperfield,1850,10,1
41,Oliver Twist,1839,3,1
42,The Count of Monte Cristo,1844,8,1
43,The Three Musketeers,1844,3,2
44,Les Misérables,1862,1,3
45,The Hunchback of Notre-Dame,1831,5,4
46,Frankenstein,1818,9,5
47,Dracula,1897,10,3
48,The Scarlet Letter,1850,3,1
49,Of Mice and Men,1937,8,1
50,East of Eden,1952,3,1
51,Tender Is the Night,1934,7,4
52,This Side of Paradise,1920,9,3
53,The Beautiful and Damned,1922,10,4
54,A Farewell to Arms,1929,3,1
55,For Whom the Bell Tolls,1940,4,2
56,The Castle,1926,3,3
57,Amerika,1927,4,6
58,The Importance of Being Earnest,1895,3,7
59,Lady Windermere's Fan,1892,4,1
60,An Ideal Husband,1895,1,1
61,White Fang,1906,5,1
62,The Sea-Wolf,1904,9,2
63,Martin Eden,1909,10,1
64,Lord Jim,1900,3,4
65,Nostromo,1904,8,3
66,The Secret Agent,1907,8,4
67,A Connecticut Yankee in King Arthur's Court,1889,3,1
68,The Prince and the Pauper,1881,7,2
69,"Bartleby, the Scrivener",1853,9,3
70,"Billy Budd, Sailor",1924,10,6
71,Typee,1846,3,6
72,The Death of Ivan Ilyich,1886,1,7
73,Resurrection,1899,5,1
74,The Idiot,1869,9,1
75,Demons,1872,10,1
76,Mansfield Park,1814,3,2
77,Northanger Abbey,1817,10,3
78,Persuasion,1817,3,4
79,Bleak House,1853,1,5
80,Hard Times,1854,5,3
81,Little Dorrit,1857,9,1
82,The Man in the Iron Mask,1847,10,2
83,The Black Tulip,1850,3,3
84,The Toilers of the Sea,1866,1,3
85,The Man Who Laughs,1869,5,4
86,The Last Day of a Condemned Man,1829,9,5
87,The Invisible Man,1897,10,3
88,The Time Machine,1895,3,1
89,The War of the Worlds,1898,4,1
90,The Island of Doctor Moreau,1896,3,1
91,The Picture of Dorian Gray,1890,4,4
92,The Importance of Being Earnest,1895,1,3
93,Lady Windermere's Fan,1892,5,4
94,An Ideal Husband,1895,9,1
